iteration,duration_ms
1,0.001120
2,0.000500
3,0.000400
4,0.000360
5,0.000340
6,0.000360
7,0.000360
8,0.000340
9,0.000340
10,0.000360
11,0.000360
12,0.000340
13,0.000360
14,0.000360
15,0.000360
16,0.000360
17,0.000340
18,0.000360
19,0.000340
20,0.000340
21,0.000340
22,0.000360
23,0.000340
24,0.000360
25,0.000360
26,0.000360
27,0.000340
28,0.000360
29,0.000340
30,0.000340
31,0.000360
32,0.000340
33,0.000360
34,0.000360
35,0.000360
36,0.000340
37,0.000340
38,0.000340
39,0.000360
40,0.000340
41,0.000340
42,0.000340
43,0.000360
44,0.000340
45,0.000360
46,0.000360
47,0.000360
48,0.000360
49,0.000340
50,0.000360
51,0.000360
52,0.000360
53,0.000360
54,0.000360
55,0.000360
56,0.000340
57,0.000340
58,0.000340
59,0.000340
60,0.000360
61,0.000360
62,0.000360
63,0.000340
64,0.000360
65,0.000340
66,0.000340
67,0.000340
68,0.000360
69,0.000340
70,0.000360
71,0.000340
72,0.000340
73,0.000340
74,0.000340
75,0.000360
76,0.000340
77,0.000360
78,0.000360
79,0.000340
80,0.000360
81,0.000360
82,0.000380
83,0.000340
84,0.000340
85,0.000360
86,0.000340
87,0.000340
88,0.000360
89,0.000340
90,0.000340
91,0.000340
92,0.000340
93,0.000360
94,0.000360
95,0.000340
96,0.000360
97,0.000340
98,0.000340
99,0.000340
100,0.000360
